Ω√ØÃﬂ#11
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0.0113591076806188,-0.0536680668592453,0.0423089601099491,0.0036956793628633,-0.00512133585289121,-0.00365032139234245
2,2,0.00437977910041809,-0.0423855446279049,0.0380057655274868,0.0281110573559999,-0.00489256624132395,-0.00605823937803507
3,3,0.00376956071704626,-0.0275376960635185,0.0237681362777948,0.0203385259956121,-0.00441306084394455,-0.00284290453419089
4,4,0.00426182011142373,-0.0102439951151609,0.00598217453807592,-0.00579844927415252,-0.00328686856664717,0.00110471528023481
5,5,0.00123318983241916,-0.00217293831519783,0.000939748366363347,-0.00241410126909614,-0.000790045829489827,0.000530211545992643
6,6,0.00125725381076336,-0.00223514530807734,0.000977891497313976,-0.000211910140933469,-0.000410602864576504,0.000148786362842657
7,7,0.00094127346528694,-0.00184238073416054,0.000901107327081263,-0.000184242657269351,-0.000336130586219952,-2.95585305138957e-05
8,8,0.000651937676593661,-0.00136087648570538,0.000708938750904053,-0.000254958780715242,-0.00026170740602538,-3.17247940984089e-06
9,9,0.000476230488857254,-0.0010084577370435,0.000532227277290076,-0.00012248802522663,-0.000201732487767003,-3.58302786480635e-05
10,10,0.000344496627803892,-0.00071028241654858,0.000365785759640858,-8.57872873893939e-05,-0.000138818140840158,-9.56268013396766e-06
11,11,0.013832138851285,-0.050881527364254,0.0370493903756142,0.00235236831940711,-0.00526789017021656,-0.0133511461317539
12,12,0.00759734725579619,-0.0375239104032516,0.0299265626817942,0.0177066326141357,-0.00878471508622169,-0.014793561771512
13,13,0.00554372370243073,-0.020548053085804,0.0150043293833733,0.010424199514091,-0.00675448449328542,-0.00382886501029134
14,14,0.00346398516558111,-0.00748859252780676,0.00402460712939501,-0.00347623974084854,-0.00555575406178832,0.0028238738887012
15,15,0.000599248625803739,-0.00145316007547081,0.000853911507874727,-0.00128260301426053,-0.0028238280210644,0.00135444733314216
16,16,0.000859069055877626,-0.00161811267025769,0.000759043672587723,-0.000197613335330971,-0.00038347439840436,8.80227817106061e-05
17,17,0.000628513575065881,-0.00134921178687364,0.000720698270015419,-0.000274127145530656,-0.00037018462899141,-6.66724954498932e-05
18,18,0.000419567804783583,-0.000875002064276487,0.000455434259492904,-0.000166268844623119,-0.000236488645896316,-3.6360761441756e-05
19,19,0.000273879006272182,-0.000564113608561456,0.000290234631393105,-8.82136955624446e-05,-0.000130232612718828,-3.78548356820829e-05
20,20,0.000170289538800716,-0.000344691157806665,0.000174401619005948,-3.89865926990751e-05,-8.04661540314555e-05,-1.38285995490151e-05
21,21,0.0142871513962746,-0.043963611125946,0.0296764597296715,0.000774714513681829,-0.00687768217176199,-0.0183033160865307
22,22,0.00933490879833698,-0.0289588067680597,0.0196238979697227,0.00448171654716134,-0.00994364079087973,-0.0124035831540823
23,23,0.00525817321613431,-0.0142876831814647,0.00902950949966908,0.00190779694821686,-0.00592888565734029,-0.00127065542619675
24,24,0.0021319855004549,-0.00526056019589305,0.00312857469543815,-0.00157120311632752,-0.00475887581706047,0.00248657329939306
25,25,0.000572460587136447,-0.00156355800572783,0.00099109741859138,-0.000603002787102014,-0.00216396641917527,0.000657366181258112
26,26,0.000421274395193905,-0.000841063738334924,0.00041978937224485,-0.000147776227095164,-0.000204968193429522,-2.85172859548766e-06
27,27,0.000291828939225525,-0.000623619416728616,0.000331790477503091,-0.000177086578332819,-0.000213429128052667,-6.60754303680733e-05
28,28,0.000161494826897979,-0.000332132069161162,0.000170637242263183,-6.91343957441859e-05,-0.000102244172012433,-3.39358011842705e-05
29,29,1.05672424979275e-05,-2.0624333046726e-05,1.00570905487984e-05,-3.49149559042417e-06,-4.97127621201798e-06,-1.09230938960536e-06
30,30,0,0,0,0,0,0
31,31,0.00828678999096155,-0.0289430879056454,0.0206562969833612,-0.00115443312097341,-0.00462718633934855,0.00227370113134384
32,32,0.00589380646124482,-0.0183666441589594,0.0124728372320533,-0.00182586954906583,-0.00664302753284574,0.000800731300842017
33,33,0.00307099637575448,-0.00833732448518276,0.00526632787659764,-0.00100644619669765,-0.00268465210683644,0.000498156528919935
34,34,0.00117072171997279,-0.00321280001662672,0.0020420781802386,-0.000800586421974003,-0.00181566539686173,0.000692453410010785
35,35,0.000399306620238349,-0.00101832579821348,0.000619019207078964,-0.000350432033883408,-0.000774442742113024,2.40884801314678e-05
36,36,2.53534381045029e-05,-6.05046006967314e-05,3.51511625922285e-05,-2.19191751966719e-05,-3.47962595697027e-05,-9.99177427729592e-06
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,0.00242246757261455,-0.00698775146156549,0.00456528412178159,-0.000217544715269469,-0.000643426494207233,-0.000223422379349358
42,42,0.0015409366460517,-0.00407794443890452,0.0025370076764375,-0.000266384420683607,-0.000848488882184029,-0.000491418177261949
43,43,0.000645929772872478,-0.00182354426942766,0.00117761443834752,-0.000202386276214384,-0.000504548836033791,-0.000348251429386437
