Ω√ØÃﬂ#3
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0.00142230093479156,-0.00466197822242975,0.00323967728763819,0.00030917749973014,-0.000283974659396335,0.000166652578627691
2,2,0.000594743934925646,-0.004547034855932,0.00395229086279869,0.00371086108498275,-0.000291640229988843,-0.000897826452273875
3,3,-9.45075407798868e-06,-0.00227971072308719,0.00228916155174375,0.00169462419580668,-0.000411517976317555,-0.000727888953406364
4,4,0.000136292190290987,-0.000754929496906698,0.00061863730661571,0.000538729247637093,-7.01840544934385e-05,2.26870770347887e-06
5,5,8.27895855763927e-05,-0.000149633968248963,6.68443826725706e-05,0.000105019404145423,1.61666412168415e-05,5.32259673491353e-06
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,0.00112733768764883,-0.00482543045654893,0.00369809288531542,0.000321296509355307,-0.000284563575405627,-0.000612573814578354
12,12,0.000631809525657445,-0.00393187906593084,0.00330006959848106,0.00201484258286655,-0.000692571338731796,-0.00218324293382466
13,13,0.00024122538161464,-0.001690041157417,0.00144881580490619,0.00126801303122193,-0.000757099711336195,-0.00106859824154526
14,14,0.000268832547590137,-0.000559535750653595,0.000290703232167289,0.000487263780087233,0.000126683749840595,3.42149360221811e-05
15,15,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,0.000854876358062029,-0.00457290932536125,0.00371803296729922,0.000488956167828292,-0.000846329901833087,-0.00315730716101825
22,22,0.000659310782793909,-0.00268843001686037,0.00202911905944347,0.000972002628259361,-0.000487063458422199,-0.00189767917618155
23,23,0.000325070897815749,-0.000795852567534894,0.000470781669719145,0.000820053857751191,0.000405103404773399,-0.00042102302541025
24,24,1.15844159154221e-05,-2.05873348022578e-05,9.00291979633039e-06,1.99499354494037e-05,1.91277813428314e-05,-1.57473812123499e-06
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,0.000796973472461104,-0.00286871334537864,0.00207173987291753,-0.000312603253405541,-0.000753325351979584,0.00134694494772702
32,32,0.000420302472775802,-0.00131155364215374,0.000891251140274107,-0.000408975320169702,-0.00093728065257892,0.000500792521052063
33,33,0,0,0,0,0,0
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,0.000173353648278862,-0.000405935483286157,0.000232581835007295,-1.68147798831342e-05,-3.21191109833308e-05,2.5746268875082e-05
42,42,0,0,0,0,0,0
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,0,0,0,0,0,0
51,51,-0.000168283964740112,0.000351548806065693,-0.000183264855877496,4.18352647102438e-05,3.71671703760512e-05,-8.22915535536595e-05
52,52,-4.6156436894762e-08,8.79323636127083e-08,-4.17759231652326e-08,2.70412030545231e-08,1.42909790668e-08,-1.76011187846825e-08
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
