Ω√ØÃﬂ#2
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,-0.00178747694008052,-0.00364841311238706,0.00543589005246758,0.00370818004012108,-0.000346896064002067,-0.00809802860021591
2,2,-0.00163066235836595,-0.00266650295816362,0.00429716520011425,0.00914871692657471,-0.00139862298965454,-0.010975587181747
3,3,-0.0012481800513342,-0.00108102790545672,0.00232920795679092,0.00631069298833609,-0.000981137389317155,-0.00715061370283365
4,4,-0.000684918195474893,-0.000484865682665259,0.00116978387814015,0.00129245186690241,-3.11478979710955e-05,-0.000936549040488899
5,5,3.47392488038167e-05,-0.000834185455460101,0.000799446192104369,0.00074548547854647,0.000307432695990428,-0.000109025175333954
6,6,5.36753723281436e-05,-0.000104077167634387,5.0401795306243e-05,8.51777076604776e-05,2.83609406324103e-05,-7.75165335653583e-06
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,-0.0019072009017691,-0.00359907792881131,0.00550627894699574,0.00282580871134996,-0.00128176889847964,-0.0233602747321129
12,12,-0.00164972606580704,-0.00240148906596005,0.00405121501535177,0.00605461420491338,-0.00302617414854467,-0.0135692358016968
13,13,-0.00117390009108931,-0.00108381803147495,0.00225771823897958,0.00314156804233789,-0.0019166445126757,-0.00354098412208259
14,14,-0.000423622579546645,-0.00075373740401119,0.00117736007086933,0.000944168772548437,-0.000276267266599461,-0.000499669054988772
15,15,0.000119444572192151,-0.000367298343917355,0.000247853779001161,0.00038652919465676,0.00024815383949317,-0.000143743265653029
16,16,4.19873686041683e-06,-7.33789875084767e-06,3.13916166305717e-06,6.06696585236932e-06,4.74391254101647e-06,-1.73734349573351e-06
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,-0.00151803274638951,-0.00261334306560457,0.00413137581199408,0.00076857244130224,-0.000886214023921639,-0.00460296170786023
22,22,-0.00113624462392181,-0.00205657468177378,0.00319281918928027,0.00111396436113864,-0.00152477319352329,-0.00272525148466229
23,23,-0.000433492852607742,-0.00115900975652039,0.00159250269643962,0.000763708900194615,-0.000595621764659882,-0.000961114768870175
24,24,-1.98713451027288e-06,-0.000226215008297004,0.000228202130529098,0.000334762095008045,0.000126541257486679,-0.000317777186864987
25,25,1.65273158927448e-05,-2.5505049052299e-05,8.97773315955419e-06,3.39388825523201e-05,4.07003972213715e-05,-2.73002224275842e-05
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,-0.000225604817387648,-0.00120521069038659,0.00143081555142999,6.88859290676191e-05,-0.000121835808386095,-0.000245758477831259
32,32,-7.0987080107443e-05,-0.000750329811125994,0.000821316847577691,0.000116046016046312,-0.00023715675342828,-0.000187752462807111
33,33,1.40773099701619e-05,-0.000160380761371925,0.000146303456858732,9.77565214270726e-05,7.82117967901286e-06,-0.000126675891806372
