Ω√ØÃﬂ#4
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,-0.0019682829733938,-0.00487092463299632,0.00683920737355947,0.00269031850621104,0.000150690510054119,-0.000168635189766064
2,2,-0.00150482228491455,-0.00530960178002715,0.00681442441418767,0.00783459842205048,-0.00102410593535751,-0.00141237501520663
3,3,-0.000890082505065948,-0.00263578281737864,0.00352586526423693,0.00330644892528653,-0.000943619001191109,-0.00100091402418911
4,4,-0.000150603053043596,-0.000171953346580267,0.000322556414175779,0.000191664134035818,-0.000154377965372987,5.71597629459575e-05
5,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,-0.00121999764814973,-0.00570217194035649,0.00692216958850622,0.00257404171861708,0.000125867780297995,-0.00413637142628431
12,12,-0.00109399040229619,-0.00449729664251208,0.00559128681197762,0.00557582173496485,-0.00151033932343125,-0.00438740476965904
13,13,-0.000473932945169508,-0.0013856366276741,0.00185956957284361,0.00131565926130861,-0.00153146404772997,-0.00112036266364157
14,14,3.36504017468542e-05,-8.75412151799537e-05,5.38908097951207e-05,7.35670982976444e-05,-1.0702152394515e-05,9.24190590012586e-06
15,15,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,3.24720094795339e-05,-0.00548214837908745,0.00544967642053962,0.00129728962201625,-0.00156755582429469,-0.00523631786927581
22,22,-7.38184280635323e-06,-0.00305035966448486,0.0030577415600419,0.00176004390232265,-0.00210209656506777,-0.00257765431888402
23,23,5.34869177499786e-05,-0.000303588341921568,0.000250101438723505,0.000240946159465238,-0.000117875169962645,-0.000166679237736389
24,24,0,0,0,0,0,0
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,0.000760834140237421,-0.00340987532399595,0.00264904135838151,-0.00010576539352769,-0.00112312973942608,0.000681749952491373
32,32,0.000375970383174717,-0.00142350874375552,0.0010475383605808,-0.000537172250915319,-0.00127149827312678,0.000498119508847594
33,33,8.15605176285317e-07,-3.33573780153529e-06,2.52013251156313e-06,-1.03722038602427e-06,-3.40008205057529e-06,7.27969506897352e-07
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,0.000341177539667115,-0.000798260560259223,0.000457083020592108,-3.60897975042462e-05,-7.77678651502356e-05,2.90599709842354e-05
42,42,0,0,0,0,0,0
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,0,0,0,0,0,0
51,51,-0.000141954791615717,0.000312751944875345,-0.000170797153259628,3.75198796973564e-05,5.3674779337598e-05,-7.66247976571321e-05
52,52,0,0,0,0,0,0
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,0,0,0,0,0,0
60,60,0,0,0,0,0,0
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,0,0,0,0,0,0
69,69,0,0,0,0,0,0
70,70,0,0,0,0,0,0
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,0,0,0,0,0,0
79,79,0,0,0,0,0,0
80,80,0,0,0,0,0,0
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,0,0,0,0,0,0
89,89,0,0,0,0,0,0
90,90,0,0,0,0,0,0
91,91,0,0,0,0,0,0
92,92,0,0,0,0,0,0
93,93,0,0,0,0,0,0
94,94,0,0,0,0,0,0
95,95,0,0,0,0,0,0
96,96,0,0,0,0,0,0
97,97,0,0,0,0,0,0
98,98,0,0,0,0,0,0
99,99,0,0,0,0,0,0
100,100,0,0,0,0,0,0
101,101,0,0,0,0,0,0
102,102,0,0,0,0,0,0
103,103,0,0,0,0,0,0
104,104,0,0,0,0,0,0
105,105,0,0,0,0,0,0
106,106,0,0,0,0,0,0
107,107,0,0,0,0,0,0
108,108,0,0,0,0,0,0
109,109,0,0,0,0,0,0
110,110,0,0,0,0,0,0
111,111,0,0,0,0,0,0
112,112,0,0,0,0,0,0
113,113,0,0,0,0,0,0
114,114,0,0,0,0,0,0
115,115,0,0,0,0,0,0
116,116,0,0,0,0,0,0
117,117,0,0,0,0,0,0
118,118,0,0,0,0,0,0
