Ω√ØÃﬂ#3
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0.00332630751654506,-0.0107997357845306,0.00747342873364687,0.000996732851490378,-0.000872079748660326,0.000442147109424695
2,2,0.00238958885893226,-0.0103973625227809,0.00800777412950993,0.00699519645422697,-0.000549944874364883,-0.00143892248161137
3,3,0.00147336383815855,-0.00643660547211766,0.00496324151754379,0.00374909723177552,-0.000665087311062962,-0.00110069767106324
4,4,0.000403341458877549,-0.00174689339473844,0.00134355190675706,0.000615380762610584,-0.000412164663430303,-4.77318426419515e-05
5,5,0.000294273922918364,-0.000531592988409102,0.000237319094594568,0.000210217156563886,1.24394841805042e-06,1.49039015013841e-05
6,6,5.61672459298279e-05,-9.71167464740574e-05,4.09495005442295e-05,1.02488083939534e-05,2.81641564470192e-06,-1.1157225117131e-06
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,0.00303386710584164,-0.0108997514471412,0.00786588434129953,0.000708531064447016,-0.00127261155284941,-0.000775381573475897
12,12,0.00245136255398393,-0.00912303198128939,0.00667166989296675,0.0043205744586885,-0.00113147590309381,-0.00325064593926072
13,13,0.00142419035546482,-0.0047422256320715,0.00331803527660668,0.00249960599467158,-0.00146654434502125,-0.00173467223066837
14,14,0.000531465339008719,-0.00131487660109997,0.000783411262091249,0.000702043296769261,-0.000723203178495169,-7.47539816075005e-05
15,15,0.000123814548715018,-0.000218900691834278,9.50861431192607e-05,6.62169259157963e-05,1.61062544066226e-05,1.41321961564245e-05
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,0.00274027185514569,-0.0104868672788143,0.00774659495800734,0.00102544296532869,-0.00147218385245651,-0.00629657646641135
22,22,0.00197306158952415,-0.00680393120273948,0.00483086984604597,0.00182340387254953,-0.00127760332543403,-0.00421927589923143
23,23,0.00115017907228321,-0.00287040043622255,0.00172022136393934,0.00121051562018692,-0.000359649362508208,-0.00134618440642953
24,24,0.000486330449348316,-0.000816419022157788,0.000330088572809473,0.000304051907733083,7.37840964575298e-05,-5.6904256780399e-05
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,0.0020698846783489,-0.00776287680491805,0.00569299189373851,-8.40221473481506e-05,-0.00152881955727935,0.00110297731589526
32,32,0.00134169054217637,-0.00405413703992963,0.00271244673058391,-0.00040583303780295,-0.00192644016351551,0.000157525821123272
33,33,0.000523491587955505,-0.00106074358336627,0.00053725199541077,2.24870618694695e-05,-0.000331065006321296,-0.000124948608572595
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,0.000926185981370509,-0.00258611468598247,0.00165992870461196,-0.000107449683127925,-0.00020218339341227,7.55247092456557e-05
42,42,0.000500131747685373,-0.00111609336454421,0.00061596161685884,-0.000106810679426417,-0.000233582119108178,-9.47308508330025e-05
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,0,0,0,0,0,0
51,51,-0.000935780524741858,0.00240899599157274,-0.00147321540862322,-2.73429468506947e-05,0.000329089787555858,-0.000646400381810963
52,52,-0.000488751102238894,0.00109616166446358,-0.000607410562224686,8.14111772342585e-05,0.000370607653167099,-0.000245397357502952
53,53,-1.6647347365506e-05,3.02952648780774e-05,-1.36479175125714e-05,6.95573089615209e-06,7.65610184316756e-06,-5.7040915635298e-06
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,0,0,0,0,0,0
60,60,0,0,0,0,0,0
61,169,-0.00476184347644448,-0.0114211374893785,0.0161829814314842,0.00246333377435803,-0.00284041254781187,-0.000874316669069231
62,170,-0.0038557939697057,-0.0116000110283494,0.015455805696547,0.00924099702388048,-0.00679244752973318,0.000559725391212851
63,171,-0.00236969511024654,-0.00615864666178823,0.00852834153920412,0.00295594870112836,-0.00525897508487105,0.00104960089083761
64,172,-0.00113721401430666,-0.000414741283748299,0.0015519552398473,-0.00355385523289442,-0.000588129682000726,0.00087754987180233
65,173,-0.000155645117047243,0.000134531481307931,2.11136411962798e-05,-0.000873385753948241,-4.51033010904212e-05,-9.89828731690068e-06
66,174,0,0,0,0,0,0
67,175,0,0,0,0,0,0
68,176,0,0,0,0,0,0
69,177,0,0,0,0,0,0
70,178,0,0,0,0,0,0
71,179,-0.00519683165475726,-0.0120661202818155,0.0172629524022341,0.00287854322232306,-0.00461972551420331,-0.00357580999843776
72,180,-0.00377645622938871,-0.0100562963634729,0.0138327525928617,0.00711093051359057,-0.0099853090941906,-0.00233204825781286
73,181,-0.00207968638278544,-0.00407812604680657,0.00615781219676137,0.00107210013084114,-0.00645044259727001,0.000779373745899647
74,182,-0.000592212425544858,0.000130009982967749,0.000462202442577109,-0.0022541000507772,-0.000686123210471123,0.000398867501644418
75,183,-5.06060605403036e-05,2.68108906311681e-05,2.3795168090146e-05,-0.000256740750046447,-5.12777332914993e-05,6.52209246254642e-06
76,184,0,0,0,0,0,0
