XY,,,,,,,
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0,0,0,0,0,0
2,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
6,6,5.20E-05,-0.00010495,5.29E-05,-9.49E-06,-1.46E-05,-2.06E-05
7,7,0.000358743,-0.00072519,0.000366447,-7.79E-05,6.84E-06,-0.000171026
8,8,0.00063455,-0.001232648,0.000598098,-0.000131384,0.00010397,-0.000357445
9,9,0.000469575,-0.0009148,0.000445225,-0.000102336,0.000336773,-0.000845504
10,10,-3.44E-05,0.000158207,-0.000123781,-3.99E-05,0.0003551,-0.00168806
11,11,0,0,0,0,0,0
12,12,0,0,0,0,0,0
13,13,0,0,0,0,0,0
14,14,0,0,0,0,0,0
15,15,0,0,0,0,0,0
16,16,4.73E-05,-8.03E-05,3.30E-05,-3.80E-05,1.88E-05,-2.63E-05
17,17,0.000107097,-0.000157079,5.00E-05,-0.000106593,5.74E-05,-4.29E-05
18,18,0.00022729,-0.000307841,8.06E-05,-0.000216295,0.000114731,-5.92E-05
19,19,0.000223313,-8.80E-05,-0.00013534,-2.44E-05,0.000252892,-0.000157472
20,20,0.000132168,0.000584696,-0.000716864,0.000133384,0.000181405,-0.000365014
21,21,0,0,0,0,0,0
22,22,0,0,0,0,0,0
23,23,0,0,0,0,0,0
24,24,0,0,0,0,0,0
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,-0.000183067,0.000379605,-0.000196538,0.000189711,0.000160189,0.000132396
30,30,-0.000213263,0.00041723,-0.000203966,0.000104926,5.04E-05,0.000285415
31,31,0,0,0,0,0,0
32,32,0,0,0,0,0,0
33,33,0,0,0,0,0,0
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,-0.00034935,0.000448008,-9.87E-05,0.000117804,0.00014507,0.000152786
40,40,-0.000570319,0.000627274,-5.70E-05,3.96E-05,6.72E-05,0.000291077
41,41,0,0,0,0,0,0
42,42,0,0,0,0,0,0
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,-1.55E-05,1.47E-05,7.56E-07,4.57E-06,1.68E-05,9.52E-06
49,49,-0.000453613,0.000535656,-8.20E-05,0.000124735,0.000193747,0.000165212
50,50,-0.000658868,0.000743446,-8.46E-05,5.51E-05,8.90E-05,0.000176194
51,51,0,0,0,0,0,0
52,52,0,0,0,0,0,0
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,-4.37E-05,3.73E-05,6.39E-06,1.06E-05,3.34E-05,2.71E-05
59,59,-0.000582624,0.000602376,-1.98E-05,0.000128511,0.000230937,0.000254222
60,60,-0.000841357,0.000910209,-6.89E-05,5.39E-05,0.000133022,0.000249708
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,-0.000119722,9.33E-05,2.64E-05,2.48E-05,7.94E-05,7.45E-05
69,69,-0.000737004,0.000699736,3.73E-05,0.00014319,0.000310175,0.000332603
70,70,-0.000903257,0.001040217,-0.00013696,6.57E-05,0.000171307,0.000215038
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,-0.000237518,0.000169603,6.79E-05,5.71E-05,0.000118849,0.000143603
79,79,-0.000840507,0.000762078,7.84E-05,0.000139081,0.000341131,0.000386631
80,80,-0.001018907,0.001144261,-0.000125354,5.66E-05,0.000177411,0.000251944
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,-0.000303911,0.000206034,9.79E-05,7.59E-05,0.000135753,0.000182177
89,89,-0.000911767,0.000806239,0.000105528,0.000131906,0.000376409,0.000430028
90,90,-0.001103806,0.001227499,-0.000123693,5.68E-05,0.000214423,0.000292418
91,91,0,0,0,0,0,0
92,92,0,0,0,0,0,0
93,93,0,0,0,0,0,0
94,94,0,0,0,0,0,0
95,95,0,0,0,0,0,0
96,96,0,0,0,0,0,0
97,97,0,0,0,0,0,0
