Ω√ØÃﬂ#3
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,-0.00137827231083065,-0.00555823091417551,0.00693650310859084,0.00468429457396269,-0.00294065847992897,-0.00142936059273779
2,2,-0.00161653140094131,-0.00348643469624221,0.0051029659807682,0.0152816250920296,-0.00615815632045269,-0.00533478381112218
3,3,-0.00143614818807691,-0.000693512090947479,0.00212966022081673,0.00440242933109403,-0.00367033667862415,-0.00405333144590259
4,4,-0.000672382651828229,0.000216201093280688,0.000456181558547541,0.000122726167319342,-0.000746444624383003,0.000137043229187839
5,5,0.00017062688129954,-0.000438336486695334,0.000267709605395794,0.000230629186262377,0.000124479993246496,-2.32351467275294e-05
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,-0.00160405947826803,-0.00487329252064228,0.00647735176607966,0.00664281519129872,-0.00249839969910681,-0.026873704046011
12,12,-0.00170460762456059,-0.00296065537258983,0.00466526299715042,0.0103786252439022,-0.00580889079719782,-0.0178033094853163
13,13,-0.00117761245928705,-0.000787345401477069,0.00196495791897178,0.00225754710845649,-0.003626101417467,-0.0022026808001101
14,14,-0.000296438462100923,-0.00014867281424813,0.000445111276349053,0.000407039275160059,-0.000477038935059682,8.82150125107728e-05
15,15,5.65919544897042e-05,-0.000103593825770076,4.70018712803721e-05,7.24314741091803e-05,8.55318940011784e-05,-2.19334542634897e-05
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,-0.00177972647361457,-0.00346537143923342,0.005245097912848,0.00417801318690181,-0.00249831541441381,-0.0123016545549035
22,22,-0.00131728441920131,-0.00216999929398298,0.00348728359676898,0.00211184471845627,-0.00408045342192054,-0.00347517477348447
23,23,-0.00046036287676543,-0.000892913725692779,0.00135327666066587,0.000673161528538913,-0.0013416325673461,-0.000306598551105708
24,24,-7.22019967724918e-06,-6.18400736129843e-05,6.90602755639702e-05,0.000150164793012664,2.63978836301249e-05,-5.30718534719199e-05
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,-0.000711939763277769,-0.0018015782115981,0.00251351809129119,5.64835827390198e-05,-0.000566445116419345,-0.000459513918031007
32,32,-0.00022391471429728,-0.00105746265035123,0.00128137727733701,8.80718434927985e-05,-0.000697315321303904,-0.000305274734273553
33,33,2.081663296849e-05,-0.000190600476344116,0.000169783845194615,0.000138829491334036,3.31462870235555e-05,-0.000161179064889438
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,5.72539756831247e-05,-0.000236104111536406,0.000178850124939345,-3.97528019675519e-05,-6.38169804005884e-05,1.02886178865447e-05
42,42,1.42506278280052e-05,-4.02760560973547e-05,2.60254273598548e-05,2.96614075523394e-06,-4.91536593472119e-06,-3.70652596757282e-05
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,0,0,0,0,0,0
51,51,-8.02286376710981e-05,0.000174255037563853,-9.40263926167972e-05,2.32044549193233e-05,2.6047177016153e-05,-0.000104058941360563
52,52,-2.90974530798849e-05,5.93655786360614e-05,-3.02681255561765e-05,2.99030216410756e-05,1.58598631969653e-05,-3.50850968970917e-05
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,0,0,0,0,0,0
60,60,0,0,0,0,0,0
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,0,0,0,0,0,0
69,69,0,0,0,0,0,0
70,70,0,0,0,0,0,0
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,0,0,0,0,0,0
79,79,0,0,0,0,0,0
80,80,0,0,0,0,0,0
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,0,0,0,0,0,0
89,89,0,0,0,0,0,0
90,90,0,0,0,0,0,0
91,91,0,0,0,0,0,0
92,92,0,0,0,0,0,0
93,93,0,0,0,0,0,0
94,94,0,0,0,0,0,0
95,95,0,0,0,0,0,0
96,96,0,0,0,0,0,0
97,97,0,0,0,0,0,0
98,98,0,0,0,0,0,0
99,99,0,0,0,0,0,0
100,100,0,0,0,0,0,0
101,101,0,0,0,0,0,0
102,102,0,0,0,0,0,0
103,103,0,0,0,0,0,0
104,104,0,0,0,0,0,0
105,105,0,0,0,0,0,0
106,106,0,0,0,0,0,0
107,107,0,0,0,0,0,0
108,108,0,0,0,0,0,0
109,109,0,0,0,0,0,0
110,110,0,0,0,0,0,0
111,111,0,0,0,0,0,0
112,112,0,0,0,0,0,0
113,113,0,0,0,0,0,0
114,114,0,0,0,0,0,0
115,115,0,0,0,0,0,0
116,116,0,0,0,0,0,0
117,117,0,0,0,0,0,0
118,118,0,0,0,0,0,0
119,119,0,0,0,0,0,0
120,120,0,0,0,0,0,0
121,121,0,0,0,0,0,0
122,122,0,0,0,0,0,0
123,123,0,0,0,0,0,0
124,124,0,0,0,0,0,0
125,125,0,0,0,0,0,0
126,126,0,0,0,0,0,0
127,127,0,0,0,0,0,0
128,128,0,0,0,0,0,0
129,129,0,0,0,0,0,0
130,130,0,0,0,0,0,0
131,131,0,0,0,0,0,0
132,132,0,0,0,0,0,0
133,133,0,0,0,0,0,0
134,134,0,0,0,0,0,0
135,135,0,0,0,0,0,0
136,136,0,0,0,0,0,0
137,137,0,0,0,0,0,0
138,138,0,0,0,0,0,0
139,139,0,0,0,0,0,0
140,140,0,0,0,0,0,0
141,141,0,0,0,0,0,0
142,142,0,0,0,0,0,0
143,143,0,0,0,0,0,0
144,144,0,0,0,0,0,0
145,145,0,0,0,0,0,0
146,146,0,0,0,0,0,0
147,147,0,0,0,0,0,0
148,148,0,0,0,0,0,0
149,149,0,0,0,0,0,0
150,150,0,0,0,0,0,0
151,151,0,0,0,0,0,0
152,152,0,0,0,0,0,0
153,153,0,0,0,0,0,0
154,154,0,0,0,0,0,0
155,155,0,0,0,0,0,0
156,156,0,0,0,0,0,0
157,157,0,0,0,0,0,0
158,158,0,0,0,0,0,0
159,159,0,0,0,0,0,0
160,160,0,0,0,0,0,0
161,161,0,0,0,0,0,0
162,162,0,0,0,0,0,0
163,163,0,0,0,0,0,0
164,164,0,0,0,0,0,0
165,165,0,0,0,0,0,0
166,166,0,0,0,0,0,0
167,167,0,0,0,0,0,0
168,168,0,0,0,0,0,0
169,169,-0.00190052262041718,-0.00635432684794068,0.00825484935194254,0.00267761549912393,-0.00391880702227354,-0.00426426157355309
170,170,-0.00217025354504585,-0.0042344038374722,0.00640465738251805,0.0117594236508012,-0.00842798408120871,-0.00531265651807189
171,171,-0.00210493034683168,-0.00109464616980404,0.00319957663305104,0.00515322852879763,-0.00613933941349387,-0.0032131839543581
172,172,-0.00129875633865595,0.000619920436292887,0.000678835902363062,-0.00058069993974641,-0.00218755262903869,0.000434160232543945
173,173,-8.96330966497771e-05,-8.09819539426826e-05,0.00017061505059246,-0.000122737852507271,2.91147152893245e-05,3.62480495823547e-05
174,174,0,0,0,0,0,0
175,175,0,0,0,0,0,0
176,176,0,0,0,0,0,0
177,177,0,0,0,0,0,0
178,178,0,0,0,0,0,0
179,179,-0.00230939057655632,-0.00568620674312115,0.00799559708684683,0.00361650506965816,-0.00370702287182212,-0.0192767567932606
180,180,-0.00256658578291535,-0.00356937618926167,0.00613596197217703,0.00847368966788054,-0.00870636384934187,-0.0138729345053434
181,181,-0.00194829399697483,-0.00110969552770257,0.0030579895246774,0.00258786580525339,-0.00582061940804124,-0.00261741364374757
182,182,-0.000678811746183783,-0.00014000890951138,0.000818820670247078,-0.000143658820888959,-0.0011650548549369,0.000304687331663445
183,183,2.27328177970776e-06,-1.0738714991021e-05,8.46543298393954e-06,4.19877960666781e-06,-5.75962849325151e-06,1.13952626179525e-06
184,184,0,0,0,0,0,0
185,185,0,0,0,0,0,0
186,186,0,0,0,0,0,0
187,187,0,0,0,0,0,0
188,188,0,0,0,0,0,0
189,189,-0.00262182159349322,-0.00416650762781501,0.00678832922130823,0.00281980400905013,-0.00289866817183793,-0.0108199398964643
190,190,-0.00236334698274732,-0.00255143106915057,0.00491477828472853,0.00295827607624233,-0.00476550264284015,-0.00417002895846963
191,191,-0.00110653543379158,-0.00124552263878286,0.00235205795615911,0.00102080078795552,-0.0015085730701685,-0.00054079300025478
192,192,-2.62173925875686e-05,-0.000102476478787139,0.00012869386409875,0.000103103790024761,-5.64526380912866e-05,1.95572483789874e-05
193,193,0,0,0,0,0,0
194,194,0,0,0,0,0,0
195,195,0,0,0,0,0,0
196,196,0,0,0,0,0,0
197,197,0,0,0,0,0,0
198,198,0,0,0,0,0,0
199,199,-0.00193568761460483,-0.00271416292525828,0.00464985053986311,0.000450077641289681,-0.000999522162601352,-0.000976390205323696
200,200,-0.0011344290105626,-0.00136735045816749,0.00250177946873009,0.000713229179382324,-0.00141731766052544,-0.000292071083094925
201,201,-0.000168132988619618,-0.000189197118743323,0.000357330107362941,0.000220256304601207,-0.000203832925762981,-1.02417179732583e-05
202,202,0,0,0,0,0,0
203,203,0,0,0,0,0,0
204,204,0,0,0,0,0,0
205,205,0,0,0,0,0,0
206,206,0,0,0,0,0,0
207,207,0,0,0,0,0,0
208,208,0,0,0,0,0,0
209,209,-0.000176374509464949,-0.000268087052972987,0.000444461562437937,4.1688843339216e-05,-7.41077165002935e-05,-1.49675634020241e-05
210,210,-1.84986038220813e-05,-1.55259440361988e-05,3.40245460392907e-05,1.06955885712523e-05,-7.84401890996378e-06,-6.44538204142009e-07
211,211,0,0,0,0,0,0
212,212,0,0,0,0,0,0
213,213,0,0,0,0,0,0
214,214,0,0,0,0,0,0
215,215,0,0,0,0,0,0
216,216,0,0,0,0,0,0
217,217,0,0,0,0,0,0
218,218,0,0,0,0,0,0
219,219,0,0,0,0,0,0
220,220,0,0,0,0,0,0
221,221,0,0,0,0,0,0
222,222,0,0,0,0,0,0
223,223,0,0,0,0,0,0
224,224,0,0,0,0,0,0
225,225,0,0,0,0,0,0
226,226,0,0,0,0,0,0
227,227,0,0,0,0,0,0
228,228,0,0,0,0,0,0
229,229,0,0,0,0,0,0
230,230,0,0,0,0,0,0
231,231,0,0,0,0,0,0
232,232,0,0,0,0,0,0
233,233,0,0,0,0,0,0
234,234,0,0,0,0,0,0
235,235,0,0,0,0,0,0
236,236,0,0,0,0,0,0
237,237,0,0,0,0,0,0
238,238,0,0,0,0,0,0
239,239,0,0,0,0,0,0
240,240,0,0,0,0,0,0
241,241,0,0,0,0,0,0
242,242,0,0,0,0,0,0
243,243,0,0,0,0,0,0
