Ω√ØÃﬂ#4
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,0,0,0,0,0,0
2,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,-0.000114327609480824,0.0002393213508185,-0.000124993748613633,3.72589893231634e-05,4.93730876769405e-05,-7.50569524825551e-05
11,11,0,0,0,0,0,0
12,12,0,0,0,0,0,0
13,13,0,0,0,0,0,0
14,14,0,0,0,0,0,0
15,15,0,0,0,0,0,0
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,0,0,0,0,0,0
22,22,0,0,0,0,0,0
23,23,0,0,0,0,0,0
24,24,0,0,0,0,0,0
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,0,0,0,0,0,0
32,32,0,0,0,0,0,0
33,33,0,0,0,0,0,0
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,-6.7337830842007e-05,6.15145399933681e-05,5.82328948439681e-06,1.15076427391614e-05,1.27594812511234e-05,2.36451123782899e-05
41,41,0,0,0,0,0,0
42,42,0,0,0,0,0,0
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,-8.21877765702084e-05,7.77508030296303e-05,4.43697626906214e-06,1.18937969091348e-05,1.79122125700815e-05,2.67369323410094e-05
51,51,0,0,0,0,0,0
52,52,0,0,0,0,0,0
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,0,0,0,0,0,0
60,60,-0.00022681403788738,0.000197406901861541,2.94071360258386e-05,2.19438188651111e-05,5.2929997764295e-05,9.47931184782647e-05
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,0,0,0,0,0,0
69,69,-8.26742543722503e-05,5.26310759596527e-05,3.00431765936082e-05,2.00605209101923e-05,2.45241644734051e-05,4.45620353275444e-05
70,70,-0.00035002818913199,0.000305219611618668,4.48085738753434e-05,2.73447094514268e-05,8.14467857708223e-05,0.000129272593767382
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,0,0,0,0,0,0
79,79,-0.000179297989234328,0.0001169067909359,6.23911982984282e-05,3.46303895639721e-05,5.91441312280949e-05,9.78524403763004e-05
80,80,-0.000439283845480531,0.000391161331208423,4.81225215480663e-05,2.95906138489954e-05,0.000100758610642515,0.000167961261468008
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,0,0,0,0,0,0
89,89,-0.000262368994299322,0.000173541251569986,8.88277354533784e-05,3.86372412322089e-05,9.45955471252091e-05,0.000142639604746364
90,90,-0.000543057220056653,0.000490226317197084,5.28308992215898e-05,3.0168052035151e-05,0.000127691091620363,0.000203378513106145
91,91,0,0,0,0,0,0
92,92,0,0,0,0,0,0
93,93,0,0,0,0,0,0
94,94,0,0,0,0,0,0
95,95,0,0,0,0,0,0
96,96,0,0,0,0,0,0
97,97,0,0,0,0,0,0
98,98,0,0,0,0,0,0
99,99,-0.000320709485094994,0.000219057706999592,0.000101651785371359,4.10970351367723e-05,0.000119227923278231,0.000171086823684163
100,100,-0.000598583254031837,0.000554654630832374,4.39286159235053e-05,2.90355346805882e-05,0.000138210074510425,0.000221503592911176
101,101,0,0,0,0,0,0
102,102,0,0,0,0,0,0
103,103,0,0,0,0,0,0
104,104,0,0,0,0,0,0
105,105,0,0,0,0,0,0
106,106,0,0,0,0,0,0
107,107,0,0,0,0,0,0
108,108,0,0,0,0,0,0
