Ω√ØÃﬂ#2
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX)
1,1,-0.00141022424213588,-0.0055295848287642,0.00693980883806944,0.00465156324207783,-0.00291142333298922,-0.00145098729990423
2,2,-0.00163522060029209,-0.00350323459133506,0.00513845542445779,0.0152265885844827,-0.00611299416050315,-0.00548648554831743
3,3,-0.00144545803777874,-0.000748358317650855,0.00219381623901427,0.00467887427657843,-0.00369586586020887,-0.00424575852230191
4,4,-0.000676713767461479,0.000174668108229525,0.000502045673783869,0.000161121613928117,-0.000759940361604095,0.000111269386252388
5,5,0.000182527452125214,-0.000477034598588943,0.000294507161015645,0.000255655671935529,0.000142557677463628,-2.42745645664399e-05
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
9,9,0,0,0,0,0,0
10,10,0,0,0,0,0,0
11,11,-0.00162377068772912,-0.00487388344481587,0.00649765413254499,0.00658694189041853,-0.00246005179360509,-0.0268671307712793
12,12,-0.00171911239158362,-0.0029881524387747,0.004707264713943,0.0104036061093211,-0.00573133304715157,-0.0179528519511223
13,13,-0.00118841172661632,-0.000836527615319937,0.0020249392837286,0.0023893560282886,-0.00359135307371616,-0.00238120416179299
14,14,-0.000301268562907353,-0.00018366654694546,0.000484935124404728,0.000430662155849859,-0.000475460576126352,6.82768222759478e-05
15,15,6.38080164208077e-05,-0.000117531199066434,5.37231790076476e-05,8.37894040159881e-05,9.72441266640089e-05,-2.50342745857779e-05
16,16,0,0,0,0,0,0
17,17,0,0,0,0,0,0
18,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
20,20,0,0,0,0,0,0
21,21,-0.00178763386793435,-0.00348851014859974,0.00527614401653409,0.00415711803361773,-0.00247800187207758,-0.0123299779370427
22,22,-0.00132474582642317,-0.00220597838051617,0.0035307239741087,0.00214953790418804,-0.0040571978315711,-0.00356729608029127
23,23,-0.000467792415292934,-0.000930600508581847,0.00139839295297861,0.000703258265275508,-0.00134518917184323,-0.000345681910403073
24,24,-8.33894864626927e-06,-6.82578756823204e-05,7.65968288760632e-05,0.00016273875371553,2.49350614467403e-05,-5.78922699787654e-05
25,25,0,0,0,0,0,0
26,26,0,0,0,0,0,0
27,27,0,0,0,0,0,0
28,28,0,0,0,0,0,0
29,29,0,0,0,0,0,0
30,30,0,0,0,0,0,0
31,31,-0.000707711616996676,-0.00181971141137183,0.00252742320299149,5.44922404515091e-05,-0.000566285685636103,-0.000454385415650904
32,32,-0.000223574679694138,-0.00108094536699355,0.0013045200612396,8.38372216094285e-05,-0.000707007478922606,-0.000304739223793149
33,33,2.30478690355085e-05,-0.000205364791327156,0.00018231691501569,0.000132074856082909,2.30964615184348e-05,-0.000160940078785643
34,34,0,0,0,0,0,0
35,35,0,0,0,0,0,0
36,36,0,0,0,0,0,0
37,37,0,0,0,0,0,0
38,38,0,0,0,0,0,0
39,39,0,0,0,0,0,0
40,40,0,0,0,0,0,0
41,41,6.38969140709378e-05,-0.000264197326032445,0.000200300404685549,-4.2699342884589e-05,-6.97626164765097e-05,1.15440961963031e-05
42,42,1.6655672880006e-05,-4.77096255053766e-05,3.10539508063812e-05,-1.43356965054409e-06,-1.2026307558699e-05,-3.32353592966683e-05
43,43,0,0,0,0,0,0
44,44,0,0,0,0,0,0
45,45,0,0,0,0,0,0
46,46,0,0,0,0,0,0
47,47,0,0,0,0,0,0
48,48,0,0,0,0,0,0
49,49,0,0,0,0,0,0
50,50,0,0,0,0,0,0
51,51,-6.82379977661185e-05,0.000145545316627249,-7.73073188611306e-05,1.9722609067685e-05,2.14297015190823e-05,-8.85388799360953e-05
52,52,-2.58541931543732e-05,5.24609204148874e-05,-2.66067254415248e-05,2.74506710411515e-05,1.3631100046041e-05,-3.11935727950186e-05
53,53,0,0,0,0,0,0
54,54,0,0,0,0,0,0
55,55,0,0,0,0,0,0
56,56,0,0,0,0,0,0
57,57,0,0,0,0,0,0
58,58,0,0,0,0,0,0
59,59,0,0,0,0,0,0
60,60,0,0,0,0,0,0
61,61,0,0,0,0,0,0
62,62,0,0,0,0,0,0
63,63,0,0,0,0,0,0
64,64,0,0,0,0,0,0
65,65,0,0,0,0,0,0
66,66,0,0,0,0,0,0
67,67,0,0,0,0,0,0
68,68,0,0,0,0,0,0
69,69,0,0,0,0,0,0
70,70,0,0,0,0,0,0
71,71,0,0,0,0,0,0
72,72,0,0,0,0,0,0
73,73,0,0,0,0,0,0
74,74,0,0,0,0,0,0
75,75,0,0,0,0,0,0
76,76,0,0,0,0,0,0
77,77,0,0,0,0,0,0
78,78,0,0,0,0,0,0
79,79,0,0,0,0,0,0
80,80,0,0,0,0,0,0
81,81,0,0,0,0,0,0
82,82,0,0,0,0,0,0
83,83,0,0,0,0,0,0
84,84,0,0,0,0,0,0
85,85,0,0,0,0,0,0
86,86,0,0,0,0,0,0
87,87,0,0,0,0,0,0
88,88,0,0,0,0,0,0
89,89,0,0,0,0,0,0
90,90,0,0,0,0,0,0
91,91,0,0,0,0,0,0
92,92,0,0,0,0,0,0
93,93,0,0,0,0,0,0
94,94,0,0,0,0,0,0
95,95,0,0,0,0,0,0
96,96,0,0,0,0,0,0
97,97,0,0,0,0,0,0
98,98,0,0,0,0,0,0
99,99,0,0,0,0,0,0
100,100,0,0,0,0,0,0
101,101,0,0,0,0,0,0
102,102,0,0,0,0,0,0
103,103,0,0,0,0,0,0
104,104,0,0,0,0,0,0
105,105,0,0,0,0,0,0
106,106,0,0,0,0,0,0
107,107,0,0,0,0,0,0
108,108,0,0,0,0,0,0
109,109,0,0,0,0,0,0
110,110,0,0,0,0,0,0
111,111,0,0,0,0,0,0
112,112,0,0,0,0,0,0
113,113,0,0,0,0,0,0
114,114,0,0,0,0,0,0
115,115,0,0,0,0,0,0
116,116,0,0,0,0,0,0
117,117,0,0,0,0,0,0
118,118,0,0,0,0,0,0
119,119,0,0,0,0,0,0
120,120,0,0,0,0,0,0
121,121,0,0,0,0,0,0
122,122,0,0,0,0,0,0
123,123,0,0,0,0,0,0
124,124,0,0,0,0,0,0
125,125,0,0,0,0,0,0
126,126,0,0,0,0,0,0
127,127,0,0,0,0,0,0
128,128,0,0,0,0,0,0
129,129,0,0,0,0,0,0
130,130,0,0,0,0,0,0
131,131,0,0,0,0,0,0
132,132,0,0,0,0,0,0
133,133,0,0,0,0,0,0
134,134,0,0,0,0,0,0
135,135,0,0,0,0,0,0
136,136,0,0,0,0,0,0
137,137,0,0,0,0,0,0
138,138,0,0,0,0,0,0
139,139,0,0,0,0,0,0
140,140,0,0,0,0,0,0
141,141,0,0,0,0,0,0
142,142,0,0,0,0,0,0
143,143,0,0,0,0,0,0
144,144,0,0,0,0,0,0
145,145,0,0,0,0,0,0
146,146,0,0,0,0,0,0
147,147,0,0,0,0,0,0
148,148,0,0,0,0,0,0
149,149,0,0,0,0,0,0
150,150,0,0,0,0,0,0
151,151,0,0,0,0,0,0
152,152,0,0,0,0,0,0
153,153,0,0,0,0,0,0
154,154,0,0,0,0,0,0
155,155,0,0,0,0,0,0
156,156,0,0,0,0,0,0
157,157,0,0,0,0,0,0
158,158,0,0,0,0,0,0
159,159,0,0,0,0,0,0
160,160,0,0,0,0,0,0
161,161,0,0,0,0,0,0
162,162,0,0,0,0,0,0
163,163,0,0,0,0,0,0
164,164,0,0,0,0,0,0
165,165,0,0,0,0,0,0
166,166,0,0,0,0,0,0
167,167,0,0,0,0,0,0
168,168,0,0,0,0,0,0
169,169,-0.00192641175817698,-0.00635724188759923,0.00828365422785282,0.00265992619097233,-0.00388000486418605,-0.00429809000343084
170,170,-0.00218856614083052,-0.00428954977542162,0.00647811591625214,0.0116528198122978,-0.00840392336249352,-0.00543549191206694
171,171,-0.00211342703551054,-0.00118313904386014,0.003296566195786,0.00538764474913478,-0.00622980576008558,-0.00335593614727259
172,172,-0.00131550699006766,0.000587635149713606,0.000727871782146394,-0.000570285657886416,-0.00224379287101328,0.000424777215812355
173,173,-0.000106049665191676,-8.58345229062252e-05,0.000191884188097902,-0.000161213669343852,3.24998436553869e-05,4.43828612333164e-05
174,174,0,0,0,0,0,0
175,175,0,0,0,0,0,0
176,176,0,0,0,0,0,0
177,177,0,0,0,0,0,0
178,178,0,0,0,0,0,0
179,179,-0.00233214488252997,-0.00571735017001629,0.00804949551820755,0.00357459508813918,-0.00368317915126681,-0.0192974619567394
180,180,-0.00258496031165123,-0.00362542551010847,0.0062103858217597,0.00845153816044331,-0.00866848789155483,-0.0140176424756646
181,181,-0.00196187407709658,-0.00117904727812856,0.00314092123880982,0.00269983825273812,-0.00585037237033248,-0.00278346822597086
182,182,-0.000698279764037579,-0.00017445464618504,0.00087273441022262,-0.000142822944326326,-0.00121615338139236,0.00030065982718952
183,183,-1.53414907799743e-06,-1.02393723864225e-05,1.17735216917936e-05,-4.63406286144163e-06,-1.12487177830189e-05,2.82679593510693e-06
184,184,0,0,0,0,0,0
185,185,0,0,0,0,0,0
186,186,0,0,0,0,0,0
187,187,0,0,0,0,0,0
188,188,0,0,0,0,0,0
189,189,-0.00262960838153958,-0.00421198504045606,0.00684159342199564,0.0027985202614218,-0.00288324500434101,-0.0108187198638916
190,190,-0.00237211841158569,-0.00260586012154818,0.00497797830030322,0.00298106507398188,-0.00475630210712552,-0.00422620167955756
191,191,-0.00112522323615849,-0.00128269789274782,0.00240792101249099,0.00103215267881751,-0.00153180549386889,-0.000570221396628767
192,192,-3.03344222629676e-05,-0.000115858332719654,0.000146192745887674,0.000112651134259067,-6.00266394030768e-05,1.91081926459447e-05
193,193,0,0,0,0,0,0
194,194,0,0,0,0,0,0
195,195,0,0,0,0,0,0
196,196,0,0,0,0,0,0
197,197,0,0,0,0,0,0
198,198,0,0,0,0,0,0
199,199,-0.00193325197324157,-0.00273447902873158,0.00466773100197315,0.00045100346324034,-0.000995087204501033,-0.000982636818662286
200,200,-0.00114293419755995,-0.00138863699976355,0.00253157131373882,0.000712699664290994,-0.00142471713479608,-0.000292528158752248
201,201,-0.000176158995600417,-0.000201459581148811,0.000377618591301143,0.000224842238822021,-0.00021585742069874,-9.55258656176738e-06
202,202,0,0,0,0,0,0
203,203,0,0,0,0,0,0
204,204,0,0,0,0,0,0
205,205,0,0,0,0,0,0
206,206,0,0,0,0,0,0
207,207,0,0,0,0,0,0
208,208,0,0,0,0,0,0
209,209,-0.000182639400009066,-0.00029083460685797,0.000473474006867036,4.32001033914275e-05,-7.9199206084013e-05,-1.39034709718544e-05
210,210,-2.12197082873899e-05,-1.92618481378304e-05,4.04815546062309e-05,1.25542810565094e-05,-8.55945836519822e-06,-8.08280560704588e-07
211,211,0,0,0,0,0,0
212,212,0,0,0,0,0,0
213,213,0,0,0,0,0,0
214,214,0,0,0,0,0,0
215,215,0,0,0,0,0,0
216,216,0,0,0,0,0,0
217,217,0,0,0,0,0,0
218,218,0,0,0,0,0,0
219,219,0,0,0,0,0,0
220,220,0,0,0,0,0,0
221,221,0,0,0,0,0,0
222,222,0,0,0,0,0,0
223,223,0,0,0,0,0,0
224,224,0,0,0,0,0,0
225,225,0,0,0,0,0,0
226,226,0,0,0,0,0,0
227,227,0,0,0,0,0,0
228,228,0,0,0,0,0,0
229,229,0,0,0,0,0,0
230,230,0,0,0,0,0,0
231,231,0,0,0,0,0,0
232,232,0,0,0,0,0,0
233,233,0,0,0,0,0,0
234,234,0,0,0,0,0,0
235,235,0,0,0,0,0,0
236,236,0,0,0,0,0,0
237,237,0,0,0,0,0,0
238,238,0,0,0,0,0,0
239,239,0,0,0,0,0,0
240,240,0,0,0,0,0,0
241,241,0,0,0,0,0,0
242,242,0,0,0,0,0,0
243,243,0,0,0,0,0,0
244,244,0,0,0,0,0,0
245,245,0,0,0,0,0,0
246,246,0,0,0,0,0,0
247,247,0,0,0,0,0,0
248,248,0,0,0,0,0,0
249,249,0,0,0,0,0,0
250,250,0,0,0,0,0,0
251,251,0,0,0,0,0,0
252,252,0,0,0,0,0,0
253,253,0,0,0,0,0,0
254,254,0,0,0,0,0,0
255,255,0,0,0,0,0,0
256,256,0,0,0,0,0,0
257,257,0,0,0,0,0,0
258,258,0,0,0,0,0,0
259,259,0,0,0,0,0,0
260,260,0,0,0,0,0,0
261,261,0,0,0,0,0,0
262,262,0,0,0,0,0,0
263,263,0,0,0,0,0,0
264,264,0,0,0,0,0,0
265,265,0,0,0,0,0,0
266,266,0,0,0,0,0,0
267,267,0,0,0,0,0,0
268,268,0,0,0,0,0,0
269,269,0,0,0,0,0,0
270,270,0,0,0,0,0,0
271,271,0,0,0,0,0,0
272,272,0,0,0,0,0,0
273,273,0,0,0,0,0,0
274,274,0,0,0,0,0,0
275,275,0,0,0,0,0,0
276,276,0,0,0,0,0,0
277,277,0,0,0,0,0,0
278,278,0,0,0,0,0,0
279,279,0,0,0,0,0,0
280,280,0,0,0,0,0,0
281,281,0,0,0,0,0,0
282,282,0,0,0,0,0,0
283,283,0,0,0,0,0,0
284,284,0,0,0,0,0,0
285,285,0,0,0,0,0,0
286,286,0,0,0,0,0,0
287,287,0,0,0,0,0,0
288,288,0,0,0,0,0,0
289,289,0,0,0,0,0,0
290,290,0,0,0,0,0,0
291,291,0,0,0,0,0,0
292,292,0,0,0,0,0,0
293,293,0,0,0,0,0,0
294,294,0,0,0,0,0,0
295,295,0,0,0,0,0,0
296,296,0,0,0,0,0,0
297,297,0,0,0,0,0,0
298,298,0,0,0,0,0,0
299,299,0,0,0,0,0,0
300,300,0,0,0,0,0,0
301,301,0,0,0,0,0,0
302,302,0,0,0,0,0,0
303,303,0,0,0,0,0,0
304,304,0,0,0,0,0,0
305,305,0,0,0,0,0,0
306,306,0,0,0,0,0,0
307,307,0,0,0,0,0,0
308,308,0,0,0,0,0,0
309,309,0,0,0,0,0,0
310,310,0,0,0,0,0,0
311,311,0,0,0,0,0,0
312,312,0,0,0,0,0,0
313,313,0,0,0,0,0,0
314,314,0,0,0,0,0,0
315,315,0,0,0,0,0,0
316,316,0,0,0,0,0,0
317,317,0,0,0,0,0,0
318,318,0,0,0,0,0,0
319,319,0,0,0,0,0,0
320,320,0,0,0,0,0,0
321,321,0,0,0,0,0,0
322,322,0,0,0,0,0,0
323,323,0,0,0,0,0,0
324,324,0,0,0,0,0,0
325,325,0,0,0,0,0,0
326,326,0,0,0,0,0,0
327,327,0,0,0,0,0,0
328,328,0,0,0,0,0,0
329,329,0,0,0,0,0,0
330,330,0,0,0,0,0,0
331,331,0,0,0,0,0,0
332,332,0,0,0,0,0,0
333,333,0,0,0,0,0,0
334,334,0,0,0,0,0,0
335,335,0,0,0,0,0,0
336,336,0,0,0,0,0,0
337,337,-0.00188526348210871,-0.00799497868865728,0.00988024193793535,0.00208517792634666,-0.00612518610432744,-0.00707869604229927
338,338,-0.00250857206992805,-0.00534385209903121,0.00785242393612862,0.00859088357537985,-0.0138383246958256,-0.00654800655320287
339,339,-0.00290821166709065,-0.00175691733602434,0.00466512888669968,0.00668865162879229,-0.0106302928179502,-0.00305198412388563
340,340,-0.00188053771853447,0.000431622378528118,0.00144891534000635,0.000945908133871853,-0.00366477039642632,0.000175726585439406
341,341,-0.00026805282686837,-0.000147882645251229,0.0004159354721196,1.08570820884779e-05,4.71137136628386e-05,2.88010560325347e-05
342,342,0,0,0,0,0,0
343,343,0,0,0,0,0,0
344,344,0,0,0,0,0,0
345,345,0,0,0,0,0,0
346,346,0,0,0,0,0,0
347,347,-0.00221322593279183,-0.00642059417441487,0.00863382034003735,0.00194113422185183,-0.00368199800141156,-0.0147886173799634
348,348,-0.00276969862170517,-0.00428666593506932,0.00705636478960514,0.00675541441887617,-0.00906689744442701,-0.0109348269179463
349,349,-0.00261951680295169,-0.00205139839090407,0.00467091519385576,0.00388972647488117,-0.00653360085561872,-0.0035483636893332
350,350,-0.00109537062235177,-0.000635053380392492,0.00173042400274426,0.000671292771585286,-0.00160982389934361,-1.37710203489405e-05
351,351,-1.93021696759388e-05,-1.62653050210793e-05,3.5567474697018e-05,3.59393629878468e-06,-2.63711026491364e-05,4.57984515378485e-06
352,352,0,0,0,0,0,0
353,353,0,0,0,0,0,0
354,354,0,0,0,0,0,0
355,355,0,0,0,0,0,0
356,356,0,0,0,0,0,0
357,357,-0.00267453398555517,-0.00484558148309588,0.00752011593431234,0.00104836141690612,-0.00271884980611503,-0.00763943279162049
358,358,-0.00278529920615256,-0.00321585894562304,0.0060011581517756,0.00250908685848117,-0.00533430138602853,-0.00437841098755598
359,359,-0.00188000500202179,-0.00166734668891877,0.00354735157452524,0.000899457721970975,-0.00181122333742678,-0.000940310012083501
360,360,-0.000226176416617818,-0.000264174159383401,0.000490350590553135,0.000200999405933544,-0.000152966560563073,-2.04379321075976e-05
361,361,0,0,0,0,0,0
362,362,0,0,0,0,0,0
363,363,0,0,0,0,0,0
364,364,0,0,0,0,0,0
365,365,0,0,0,0,0,0
366,366,0,0,0,0,0,0
367,367,-0.00269243470393121,-0.00316404644399881,0.00585648091509938,0.000235307015827857,-0.00102116423659027,-0.00092290184693411
368,368,-0.00217224145308137,-0.00175727996975183,0.0039295214228332,0.000436151603935286,-0.00199701474048197,-0.000374982424546033
369,369,-0.000692618603352457,-0.000364756328053772,0.00105737498961389,0.000299494626233354,-0.000551429751794785,1.89212569239317e-05
370,370,-5.23464768775739e-06,-1.37187919335702e-06,6.60652722217492e-06,2.9632337827934e-06,-3.4050087833748e-06,1.07006087546324e-06
371,371,0,0,0,0,0,0
372,372,0,0,0,0,0,0
373,373,0,0,0,0,0,0
374,374,0,0,0,0,0,0
375,375,0,0,0,0,0,0
376,376,0,0,0,0,0,0
377,377,-0.000900079554412514,-0.000773236097302288,0.0016733156517148,0.000111063753138296,-0.000130028274725191,6.82290192344226e-06
378,378,-0.000353447045199573,-0.000198820052901283,0.000552267127204686,0.000116989402158652,-7.78470348450355e-05,1.58657658175798e-05
379,379,0,0,0,0,0,0
380,380,0,0,0,0,0,0
381,381,0,0,0,0,0,0
382,382,0,0,0,0,0,0
383,383,0,0,0,0,0,0
384,384,0,0,0,0,0,0
385,385,0,0,0,0,0,0
386,386,0,0,0,0,0,0
387,387,0,0,0,0,0,0
388,388,0,0,0,0,0,0
389,389,0,0,0,0,0,0
390,390,0,0,0,0,0,0
391,391,0,0,0,0,0,0
392,392,0,0,0,0,0,0
393,393,0,0,0,0,0,0
394,394,0,0,0,0,0,0
395,395,0,0,0,0,0,0
396,396,0,0,0,0,0,0
397,397,0,0,0,0,0,0
398,398,0,0,0,0,0,0
399,399,0,0,0,0,0,0
400,400,0,0,0,0,0,0
401,401,0,0,0,0,0,0
402,402,0,0,0,0,0,0
403,403,0,0,0,0,0,0
404,404,0,0,0,0,0,0
405,405,0,0,0,0,0,0
406,406,0,0,0,0,0,0
407,407,0,0,0,0,0,0
408,408,0,0,0,0,0,0
409,409,0,0,0,0,0,0
410,410,0,0,0,0,0,0
411,411,0,0,0,0,0,0
412,412,0,0,0,0,0,0
413,413,0,0,0,0,0,0
414,414,0,0,0,0,0,0
415,415,0,0,0,0,0,0
416,416,0,0,0,0,0,0
417,417,0,0,0,0,0,0
418,418,0,0,0,0,0,0
419,419,0,0,0,0,0,0
420,420,0,0,0,0,0,0
421,421,0,0,0,0,0,0
422,422,0,0,0,0,0,0
423,423,0,0,0,0,0,0
424,424,0,0,0,0,0,0
425,425,0,0,0,0,0,0
426,426,0,0,0,0,0,0
