Ω√ØÃﬂ#2
,øÿØƒﬁóvëfî‘çÜ,ëYê´Ç–Ç∏Ç›(X),ëYê´Ç–Ç∏Ç›(Y),ëYê´Ç–Ç∏Ç›(Z),ëYê´Ç–Ç∏Ç›(XY),ëYê´Ç–Ç∏Ç›(YZ),ëYê´Ç–Ç∏Ç›(ZX),’∞ªﬁ∞∫›Œﬂ∞»›ƒ1,’∞ªﬁ∞∫›Œﬂ∞»›ƒ2
1,1,-0.000372496113413945,-0.0217748116701841,0.0221473071724176,0.00547655764967203,-0.00217925384640694,-0.00162920402362943,0,0
2,2,-0.00173051725141704,-0.0179007649421692,0.0196312814950943,0.0159559845924377,-0.00484986323863268,-0.00403309846296906,0,0
3,3,-0.000103480495454278,-0.00921305920928717,0.00931653939187527,0.00614341581240296,-0.00196406850591302,-0.00223465962335467,0,0
4,4,0.000529309560079128,-0.00157471629790962,0.00104540679603815,0.000117347175546456,-0.000758407404646277,0.000253046862781048,0,0
5,5,0.00019986173720099,-0.000323447660775855,0.00012358590902295,0.000116753828478977,-3.84485938411672e-05,-6.89411945131724e-06,0,0
6,6,0.0001532139867777,-0.000281008396996185,0.000127794410218485,4.75022534374148e-05,2.56077640869989e-07,4.68439544931698e-08,0,0
7,7,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0
11,11,0.00295299780555069,-0.0223196372389793,0.0193666387349367,0.0032441234216094,-0.00315982918255031,-0.0117032723501325,0,0
12,12,0.00132918206509203,-0.0157006457448006,0.0143714640289545,0.00967320054769516,-0.00775775639340281,-0.0085010128095746,0,0
13,13,0.000955462513957173,-0.0060506365261972,0.00509517407044768,0.00257806456647813,-0.00529624661430717,-0.00202263169921935,0,0
14,14,0.000566407456062734,-0.00105947523843497,0.000493067782372236,0.000341041595675051,-0.00135966821108013,-7.20664465916343e-05,0,0
15,15,0.000136715054395609,-0.000241097033722326,0.000104381993878633,8.44396490720101e-05,-5.3571279750031e-06,1.36534629291418e-06,0,0
16,16,2.67948621512915e-06,-4.65471293864539e-06,1.97522649614257e-06,4.58590022844874e-07,5.23478604463889e-07,-1.60191390818909e-07,0,0
17,17,0,0,0,0,0,0,0,0
18,18,0,0,0,0,0,0,0,0
19,19,0,0,0,0,0,0,0,0
20,20,0,0,0,0,0,0,0,0
21,21,0.00523351784795523,-0.0203463938087225,0.0151128768920898,0.0017747909296304,-0.00484305061399937,-0.0103718433529139,0,0
22,22,0.00308843376114964,-0.0118630295619369,0.00877459533512592,0.00315278582274914,-0.00717361224815249,-0.00564282946288586,0,0
